Phase,Step,Tokens,VRAM_MB
Generate,458,36928,20688.8
Generate,460,36930,20688.9
Generate,462,36927,20688.8
Generate,464,36929,20688.9
Generate,466,36931,20689.0
Generate,468,36933,20689.2
Generate,470,36935,20689.3
Generate,472,36937,20689.4
Generate,474,36939,20689.5
Generate,476,36941,20689.6
Generate,478,36943,20689.7
Generate,480,36945,20689.8
Generate,482,36947,20689.9
Generate,484,36917,20688.2
Generate,486,36919,20688.3
Generate,488,36921,20688.4
Generate,490,36923,20688.5
Generate,492,36925,20688.6
Generate,494,36927,20688.8
Generate,496,36929,20688.9
Generate,498,36931,20689.0
Generate,500,36933,20689.1
Generate,502,1,18921.0
Generate,504,36928,20688.9
Generate,506,36930,20689.0
Generate,508,36932,20689.1
Generate,510,36934,20689.2
Generate,512,36936,20689.3
Generate,514,36938,20689.4
Generate,516,36940,20689.5
Generate,518,36942,20689.6
Generate,520,36944,20689.8
Generate,522,36946,20689.9
Generate,524,36948,20690.0
Generate,526,36950,20690.1
Generate,528,36952,20690.2
Generate,530,36954,20690.3
Generate,532,36956,20690.4
Generate,534,36958,20690.5
Generate,536,36960,20690.6
Generate,538,36962,20690.7
Generate,540,36964,20690.9
Generate,542,36966,20691.0
Generate,544,36968,20691.1
Generate,546,36970,20691.2
Generate,548,36972,20691.3
Generate,550,36974,20691.4
Generate,552,36976,20691.5
Generate,554,36978,20691.6
Generate,556,36980,20691.7
Generate,558,36982,20691.8
Generate,560,36984,20691.9
Generate,562,36986,20692.1
Generate,564,36988,20692.2
Generate,566,36990,20692.3
Generate,568,36992,20692.4
Generate,570,36994,20692.5
Generate,572,36996,20692.6
Generate,574,36998,20692.7
Generate,576,37000,20693.7
Generate,578,37002,20693.7
Generate,580,37004,20693.0
Generate,582,37006,20693.1
Generate,584,37008,20693.3
Generate,586,37010,20693.4
Generate,588,37012,20693.5
Generate,590,1,18920.8
Generate,592,36914,20688.0
Generate,594,36916,20688.1
Generate,596,36918,20688.2
Generate,598,36920,20688.3
Generate,600,1,18920.8
Generate,602,36917,20688.2
Generate,604,36919,20688.3
Generate,606,36921,20688.4
Generate,608,36923,20688.5
Generate,610,36925,20688.6
Generate,612,36927,20688.8
Generate,614,36929,20688.9
Generate,616,36931,20689.0
Generate,618,36933,20689.1
Generate,620,36935,20689.2
Generate,622,36937,20689.3
Generate,624,36939,20689.4
Generate,626,36941,20689.5
Generate,628,36943,20689.6
Generate,630,36945,20689.7
